Date,NO2,OZONE,PM25
01-Jan-2018 00:00,0.034,0.007,494.8
01-Jan-2018 01:00,0.032,0.007,723.5
01-Jan-2018 02:00,0.032,0.008,707.2
01-Jan-2018 03:00,0.027,0.005,663.7
01-Jan-2018 04:00,0.027,0.004,531.3
01-Jan-2018 05:00,0.027,0.005,379.1
01-Jan-2018 06:00,0.023,0.003,275.3
01-Jan-2018 07:00,0.022,0.002,214.3
01-Jan-2018 08:00,0.027,0.002,179.3
01-Jan-2018 09:00,0.026,0.004,111
01-Jan-2018 10:00,0.022,0.014,47.8
01-Jan-2018 11:00,0.013,0.026,38.1
01-Jan-2018 12:00,0.013,0.032,19.8
01-Jan-2018 13:00,0.011,0.041,21.8
01-Jan-2018 14:00,0.01,0.046,19.7
01-Jan-2018 15:00,0.009,0.048,17.3
01-Jan-2018 16:00,0.015,0.042,12.4
01-Jan-2018 17:00,0.033,0.02,17.5
01-Jan-2018 18:00,0.043,0.002,33.9
01-Jan-2018 19:00,0.039,0.002,39.9
01-Jan-2018 20:00,0.039,0.002,53.9
01-Jan-2018 21:00,0.04,0.003,50
01-Jan-2018 22:00,0.038,0.002,64.5
01-Jan-2018 23:00,0.035,0.002,68
02-Jan-2018 00:00,0.031,0.002,65.3
02-Jan-2018 01:00,0.031,0.002,65.5
02-Jan-2018 02:00,0.032,0.002,60.2
02-Jan-2018 03:00,0.033,0.002,49.9
02-Jan-2018 04:00,0.032,0.001,41.4
02-Jan-2018 05:00,0.03,0.001,33.5
02-Jan-2018 06:00,0.031,0.001,23.9
02-Jan-2018 07:00,0.03,0.001,21.3
02-Jan-2018 08:00,0.034,0.001,23.7
02-Jan-2018 09:00,0.034,0.003,22
02-Jan-2018 10:00,0.029,0.008,13.3
02-Jan-2018 11:00,0.025,0.015,11.6
02-Jan-2018 12:00,0.022,0.023,14.7
02-Jan-2018 13:00,0.016,0.031,11.8
02-Jan-2018 14:00,0.013,0.035,5.8
02-Jan-2018 15:00,0.016,0.033,6.7
02-Jan-2018 16:00,0.029,0.021,7.6
02-Jan-2018 17:00,0.044,0.005,9
02-Jan-2018 18:00,0.045,0.001,13.2
02-Jan-2018 19:00,0.044,0.002,17.2
02-Jan-2018 20:00,0.044,0.002,24.1
02-Jan-2018 21:00,0.042,0.002,25.7
02-Jan-2018 22:00,0.039,0.002,24.9
02-Jan-2018 23:00,0.035,0.002,21.6
03-Jan-2018 00:00,0.031,0.002,18.6
03-Jan-2018 01:00,0.03,0.002,18.2
03-Jan-2018 02:00,0.03,0.004,29.6
03-Jan-2018 03:00,0.026,0.001,31.7
03-Jan-2018 04:00,0.027,0.001,17.6
03-Jan-2018 05:00,0.028,0.001,11.6
03-Jan-2018 06:00,0.035,0.001,12.3
03-Jan-2018 07:00,0.04,0.002,19
03-Jan-2018 08:00,0.044,0.002,31
03-Jan-2018 09:00,0.049,0.002,29.3
03-Jan-2018 10:00,0.045,0.007,23.5
03-Jan-2018 11:00,0.009,0.032,10.1
03-Jan-2018 12:00,0.005,0.038,3.6
03-Jan-2018 13:00,0.004,0.041,4
03-Jan-2018 14:00,0.006,0.039,2
03-Jan-2018 15:00,0.009,0.036,2.3
03-Jan-2018 16:00,0.016,0.028,4.2
03-Jan-2018 17:00,0.027,0.017,3.8
03-Jan-2018 18:00,0.032,0.012,4.1
03-Jan-2018 19:00,0.035,0.007,5.4
03-Jan-2018 20:00,0.04,0.002,8.5
03-Jan-2018 21:00,0.037,0.002,11.9
03-Jan-2018 22:00,0.038,0.001,13.6
03-Jan-2018 23:00,0.037,0.001,16.4
04-Jan-2018 00:00,0.034,0.001,14.1
04-Jan-2018 01:00,0.031,0.001,12.2
04-Jan-2018 02:00,0.03,0.002,15.1
04-Jan-2018 03:00,0.03,0.001,15.6
04-Jan-2018 04:00,0.029,0.001,11
04-Jan-2018 05:00,0.028,0.001,12.4
04-Jan-2018 06:00,0.032,0.001,14.9
04-Jan-2018 07:00,0.036,0.002,23.7
04-Jan-2018 08:00,0.041,0.002,27.5
04-Jan-2018 09:00,0.042,,28.4
04-Jan-2018 10:00,,,14
04-Jan-2018 11:00,,0.025,
04-Jan-2018 12:00,0.006,0.036,
04-Jan-2018 13:00,0.009,0.038,4.2
04-Jan-2018 14:00,0.009,0.04,4.6
04-Jan-2018 15:00,0.011,0.039,5
04-Jan-2018 16:00,0.013,0.037,5
04-Jan-2018 17:00,0.029,0.019,5.7
04-Jan-2018 18:00,0.042,0.001,11.1
04-Jan-2018 19:00,0.041,0.001,13.1
04-Jan-2018 20:00,0.039,0.001,18.9
04-Jan-2018 21:00,0.04,0.001,21
04-Jan-2018 22:00,0.038,0.002,22.5
04-Jan-2018 23:00,0.037,0.002,23.3
05-Jan-2018 00:00,0.035,0.002,24.8
05-Jan-2018 01:00,0.032,0.002,29.9
05-Jan-2018 02:00,0.03,0.002,35.1
05-Jan-2018 03:00,0.029,0.002,28.2
05-Jan-2018 04:00,0.029,0.002,25.1
05-Jan-2018 05:00,0.032,0.001,24.1
05-Jan-2018 06:00,0.032,0.001,14.1
05-Jan-2018 07:00,0.032,0.001,12.6
05-Jan-2018 08:00,0.034,0.002,16.7
05-Jan-2018 09:00,0.034,0.006,14.6
05-Jan-2018 10:00,0.026,0.016,11.7
05-Jan-2018 11:00,0.018,0.025,7.7
05-Jan-2018 12:00,0.012,0.033,4.2
05-Jan-2018 13:00,0.017,0.034,4.7
05-Jan-2018 14:00,0.015,0.04,7.5
