Date,NO2,OZONE,PM25
01-Jan-2020 00:00,0.016,0.007,349
01-Jan-2020 01:00,0.015,0.004,462.9
01-Jan-2020 02:00,0.012,0.003,549.8
01-Jan-2020 03:00,0.012,0.003,550
01-Jan-2020 04:00,0.012,0.002,498.6
01-Jan-2020 05:00,0.013,0.001,342.1
01-Jan-2020 06:00,0.012,0,195.1
01-Jan-2020 07:00,0.012,0.001,142.9
01-Jan-2020 08:00,0.016,0,134.9
01-Jan-2020 09:00,0.009,0.009,63.2
01-Jan-2020 10:00,0.006,0.018,9.8
01-Jan-2020 11:00,0.006,0.022,5.4
01-Jan-2020 12:00,0.006,0.025,3.4
01-Jan-2020 13:00,0.008,0.026,6.4
01-Jan-2020 14:00,0.007,0.03,7.1
01-Jan-2020 15:00,0.007,0.033,7.5
01-Jan-2020 16:00,0.007,0.032,10.8
01-Jan-2020 17:00,0.01,0.025,11.8
01-Jan-2020 18:00,0.023,0.01,20.5
01-Jan-2020 19:00,0.028,0.002,36.7
01-Jan-2020 20:00,0.028,0.001,33.7
01-Jan-2020 21:00,0.026,0.001,48.4
01-Jan-2020 22:00,0.025,0.001,46.3
01-Jan-2020 23:00,0.023,0,42.2
02-Jan-2020 00:00,0.023,0,29.7
02-Jan-2020 01:00,0.019,0,37.7
02-Jan-2020 02:00,0.015,0,35.5
02-Jan-2020 03:00,0.016,0,38
02-Jan-2020 04:00,0.014,0,44.8
02-Jan-2020 05:00,0.014,0,33.4
02-Jan-2020 06:00,0.013,0,34.9
02-Jan-2020 07:00,0.015,,35.9
02-Jan-2020 08:00,0.02,,41.3
02-Jan-2020 09:00,,0.004,33.9
02-Jan-2020 10:00,0.024,0.009,33.5
02-Jan-2020 11:00,0.022,0.014,37.5
02-Jan-2020 12:00,0.01,0.024,22.7
02-Jan-2020 13:00,0.005,0.03,5.2
02-Jan-2020 14:00,0.008,0.029,3
02-Jan-2020 15:00,0.006,0.034,1.8
02-Jan-2020 16:00,0.006,0.033,0.7
02-Jan-2020 17:00,0.011,0.027,2.1
02-Jan-2020 18:00,0.017,0.019,6.5
02-Jan-2020 19:00,0.019,0.016,6.8
02-Jan-2020 20:00,0.014,0.02,3.1
02-Jan-2020 21:00,0.013,0.016,6.1
