Date,Driving
1/13/20,100
1/14/20,104.29
1/15/20,107
1/16/20,111.4
1/17/20,126.6
1/18/20,116.27
1/19/20,85.91
1/20/20,98.91
1/21/20,103.87
1/22/20,104.92
1/23/20,108.03
1/24/20,121.11
1/25/20,114.72
1/26/20,77.97
1/27/20,100.14
1/28/20,104.82
1/29/20,107.63
1/30/20,113.61
1/31/20,128.12
2/1/20,119.28
2/2/20,77.75
2/3/20,100.08
2/4/20,105.18
2/5/20,104.6
2/6/20,109.04
2/7/20,127.57
2/8/20,124.68
2/9/20,84.64
2/10/20,101.78
2/11/20,105.93
2/12/20,111.82
2/13/20,120.11
2/14/20,139.04
2/15/20,122.54
2/16/20,91.79
2/17/20,107.16
2/18/20,110.4
2/19/20,115.69
2/20/20,119.04
2/21/20,136.3
2/22/20,129.79
2/23/20,100.91
2/24/20,113.08
2/25/20,116.18
2/26/20,117.15
2/27/20,121.8
2/28/20,137.2
2/29/20,142.89
3/1/20,99.09
3/2/20,112.09
3/3/20,115.31
3/4/20,117.71
3/5/20,124.51
3/6/20,141.12
3/7/20,131.1
3/8/20,95.15
3/9/20,111.67
3/10/20,111.24
3/11/20,109
3/12/20,105.49
3/13/20,114.48
3/14/20,107.95
3/15/20,78.12
3/16/20,90.07
3/17/20,83.83
3/18/20,71.94
3/19/20,72.83
3/20/20,76.57
3/21/20,66.56
3/22/20,48.16
3/23/20,61.96
3/24/20,61.32
3/25/20,60.69
3/26/20,60.95
3/27/20,66.19
3/28/20,60.26
3/29/20,45.98
3/30/20,58.18
3/31/20,57.04
4/1/20,53.73
4/2/20,55.28
4/3/20,62.61
4/4/20,54.31
4/5/20,42.21
4/6/20,54.03
4/7/20,55.62
4/8/20,55.62
4/9/20,58.24
4/10/20,65.36
4/11/20,57.33
4/12/20,37.12
4/13/20,56.79
4/14/20,58.69
4/15/20,63.46
4/16/20,63.97
4/17/20,72.86
4/18/20,66.43
4/19/20,51.33
4/20/20,64.55
4/21/20,63.72
4/22/20,65.11
4/23/20,67.75
4/24/20,75.53
4/25/20,69.33
4/26/20,52.81
4/27/20,65.76
4/28/20,67.2
4/29/20,68.78
4/30/20,71.89
5/1/20,82.34
5/2/20,77.65
5/3/20,58.09
5/4/20,71.96
5/5/20,74.78
5/6/20,74.06
5/7/20,76.38
5/8/20,87.81
5/9/20,82.59
5/10/20,59.75
5/11/20,
5/12/20,
5/13/20,83.44
5/14/20,86.76
5/15/20,100.31
5/16/20,95.67
5/17/20,74.99
5/18/20,90.3
5/19/20,93.15
5/20/20,94.91
5/21/20,98.91
5/22/20,113.61
5/23/20,101.73
5/24/20,81.57
5/25/20,80.4
5/26/20,96.17
5/27/20,98.28
5/28/20,100.05
5/29/20,112.24
5/30/20,105.11
5/31/20,76.37
6/1/20,91.26
6/2/20,92.87
6/3/20,96.7
6/4/20,99.23
6/5/20,111.22
6/6/20,105.64
6/7/20,82.63
6/8/20,99.74
6/9/20,100.95
6/10/20,101.76
6/11/20,105.02
6/12/20,116.65
6/13/20,112.63
6/14/20,85.86
6/15/20,99.95
6/16/20,101.89
6/17/20,102.34
6/18/20,104.74
6/19/20,116.37
6/20/20,107.97
6/21/20,76.89
