"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","040139997","3","77.4","ug/m3 LC","162","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/02/2020","AirNow","040139997","3","21.9","ug/m3 LC","72","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/03/2020","AQS","040139997","3","20.2","ug/m3 LC","68","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/04/2020","AQS","040139997","3","23.7","ug/m3 LC","75","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/05/2020","AQS","040139997","3","20.1","ug/m3 LC","68","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/06/2020","AQS","040139997","3","13.7","ug/m3 LC","54","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/07/2020","AQS","040139997","3","9.8","ug/m3 LC","41","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/08/2020","AQS","040139997","3","11.7","ug/m3 LC","49","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/09/2020","AQS","040139997","3","8.4","ug/m3 LC","35","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/10/2020","AQS","040139997","3","5.8","ug/m3 LC","24","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/11/2020","AQS","040139997","3","9.5","ug/m3 LC","40","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/12/2020","AQS","040139997","3","19.5","ug/m3 LC","67","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/13/2020","AQS","040139997","3","13.6","ug/m3 LC","54","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/14/2020","AQS","040139997","3","13.4","ug/m3 LC","54","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/15/2020","AQS","040139997","3","15.6","ug/m3 LC","58","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/16/2020","AQS","040139997","3","11.6","ug/m3 LC","48","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/17/2020","AQS","040139997","3","11.1","ug/m3 LC","46","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
